0,"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable ."
0,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in ."
0,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins ."
0,"stinks from start to finish , like a wet burlap sack of gloom ."
0,"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement ."
0,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .
0,the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition .
0,everything is off .
0,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '"
0,"an easy watch , except for the annoying demeanour of its lead character ."
0,"imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes ."
0,"pc stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy-tale conclusion ."
0,"forget the misleading title , what's with the unexplained baboon cameo ?"
0,"an odd , haphazard , and inconsequential romantic comedy ."
0,"though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere ."
0,"pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i . e . , a banal spiritual quest ."
0,"a static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes ."
0,"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost ."
0, . . . a pretentious and ultimately empty examination of a sick and evil woman .
0,"the country bears has no scenes that will upset or frighten young viewers . unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either ."
0,"the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end ."
0,the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach .
0,mattei's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination .
0,only in its final surprising shots does rabbit-proof fence find the authority it's looking for .
0,"isn't as sharp as the original . . . despite some visual virtues , 'blade ii' just doesn't cut it ."
0," . . . plays like a badly edited , 91-minute trailer ( and ) the director can't seem to get a coherent rhythm going . in fact , it doesn't even seem like she tried ."
0,"maybe leblanc thought , "" hey , the movie about the baseball-playing monkey was worse . """
0,what you expect is just what you get . . . assuming the bar of expectations hasn't been raised above sixth-grade height .
0,barry sonnenfeld owes frank the pug big time
0,"the biggest problem with roger avary's uproar against the mpaa is that , even in all its director's cut glory , he's made a film that's barely shocking , barely interesting and most of all , barely anything ."
0,so riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along .
0,"i approached the usher and said that if she had to sit through it again , she should ask for a raise ."
0,earnest but heavy-handed .
0,if sinise's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over .
0,"too slow for a younger crowd , too shallow for an older one ."
0,"there's a reason the studio didn't offer an advance screening . "" the adventures of pluto nash "" is a big time stinker ."
0,"a punch line without a premise , a joke built entirely from musty memories of half-dimensional characters ."
0,"takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny ."
0,the things this movie tries to get the audience to buy just won't fly with most intelligent viewers .
0,"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary's failure to construct a story with even a trace of dramatic interest ."
0,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .
0,"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve ."
0,"deadly dull , pointless meditation on losers in a gone-to-seed hotel ."
0,"with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment ."
0,one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off
0,"a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms ."
0,"sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler . but never mind all that ; the boobs are fantasti"
0,"the script covers huge , heavy topics in a bland , surfacey way that doesn't offer any insight into why , for instance , good things happen to bad people ."
0,"a portrait of alienation so perfect , it will certainly succeed in alienating most viewers ."
0,the code talkers deserved better than a hollow tribute .
0,skip the film and buy the philip glass soundtrack cd .
0,feels like a cold old man going through the motions .
0,dignified ceo's meet at a rustic retreat and pee against a tree . can you bear the laughter ?
0,"dull and mechanical , kinda like a very goofy museum exhibit"
0,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity ."
0,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .
0,has its moments -- and almost as many subplots .
0,"the gags , and the script , are a mixed bag ."
0,completely awful iranian drama . . . as much fun as a grouchy ayatollah in a cold mosque .
0,"narratively , trouble every day is a plodding mess ."
0,there's no point in extracting the bare bones of byatt's plot for purposes of bland hollywood romance .
0,"directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they aren't able to muster a lot of emotional resonance in the cold vacuum of space ."
0,"adam sandler's heart may be in the right place , but he needs to pull his head out of his butt"
0,"there's no doubting that this is a highly ambitious and personal project for egoyan , but it's also one that , next to his best work , feels clumsy and convoluted ."
0,"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that's as fresh-faced as its young-guns cast ."
0,it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it .
0,the movie is a mess from start to finish .
0,"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness ."
0,"i'm not saying that ice age doesn't have some fairly pretty pictures , but there's not enough substance in the story to actually give them life ."
0,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar ."
0,"the plot is nothing but boilerplate clichés from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it's also too stupid to realize that they've already seen this exact same movie a hundred times"
0,terminally brain dead production .
0,"some episodes work , some don't ."
0,beautifully filmed and well acted . . . but admittedly problematic in its narrative specifics .
0,"j . lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she's a pretty woman , but she's no working girl ."
0,"rymer doesn't trust laughs -- and doesn't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects ."
0,"not only are the film's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this 'we're -doing-it-for -the-cash' sequel were ."
0,wow . i have not been this disappointed by a movie in a long time .
0,"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all ."
0,it's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .
0,"watching harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but boyd's film offers little else of consequence ."
0,"it's also curious to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget ."
0,"'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '"
0,will probably be one of those movies barely registering a blip on the radar screen of 2002 .
0,"the problem is not that it's all derivative , because plenty of funny movies recycle old tropes . the problem is that van wilder does little that is actually funny with the material ."
0,there's nothing interesting in unfaithful whatsoever .
0,none of this is half as moving as the filmmakers seem to think .
0,a processed comedy chop suey .
0,"as spent screen series go , star trek : nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there's nothing to drink ."
0,"fails as a dystopian movie , as a retooling of fahrenheit 451 , and even as a rip-off of the matrix ."
0,full of the kind of obnoxious chitchat that only self-aware neurotics engage in .
0,"an erotic thriller that's neither too erotic nor very thrilling , either ."
0,"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes ."
0,with its parade of almost perpetually wasted characters . . . margarita feels like a hazy high that takes too long to shake .
0,"if you value your time and money , find an escape clause and avoid seeing this trite , predictable rehash ."
0,"the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions , but the spell they cast isn't the least bit mesmerizing ."
0,everything is pegged into the groove of a new york dating comedy with 'issues' to simplify .
0,a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff .
0,"the cameo-packed , m : i-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise . . . then mike myers shows up and ruins everything ."
0,"it comes off as so silly that you wouldn't be surprised if ba , murdock and rest of the a-team were seen giving chase in a black and red van ."
0,the 50-something lovebirds are too immature and unappealing to care about .
0,"so genial is the conceit , this is one of those rare pictures that you root for throughout , dearly hoping that the rich promise of the script will be realized on the screen . it never is , not fully ."
0,"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities ."
0,"what with all the blanket statements and dime-store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time ."
0,one lousy movie .
0,"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film's creepy , clean-cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge ."
0,"plodding , peevish and gimmicky ."
0,"the four feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox ."
0,oozes condescension from every pore .
0,"solaris "" is a shapeless inconsequential move relying on the viewer to do most of the work ."
0,"the direction , by george hickenlooper , has no snap to it , no wiseacre crackle or hard-bitten cynicism ."
0, . . . hypnotically dull .
0,"though this saga would be terrific to read about , it is dicey screen material that only a genius should touch ."
0,it has plenty of laughs . it just doesn't have much else . . . especially in a moral sense .
0,"an awful lot like one of [spears'] music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ."
0,"confusion is one of my least favourite emotions , especially when i have to put up with 146 minutes of it ."
0,"[h]ad i suffered and bled on the hard ground of ia drang , i'd want something a bit more complex than we were soldiers to be remembered by ."
0,"occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma ."
0,it may play well as a double feature with mainstream foreign mush like my big fat greek wedding
0,"by the time you reach the finale , you're likely wondering why you've been watching all this strutting and posturing ."
0,"journalistically dubious , inept and often lethally dull ."
0,putting the primitive murderer inside a high-tech space station unleashes a pandora's box of special effects that run the gamut from cheesy to cheesier to cheesiest .
0," at its best , it's black hawk down with more heart . at its worst , it's rambo- meets-john ford ."
0,exactly what you'd expect from a guy named kaos .
0,calculated swill .
0,this movie . . . doesn't deserve the energy it takes to describe how bad it is .
0,"with or without ballast tanks , k-19 sinks to a harrison ford low ."
0,director oliver parker labors so hard to whip life into the importance of being earnest that he probably pulled a muscle or two .
0,you might be shocked to discover that seinfeld's real life is boring .
0,"it's not nearly as fresh or enjoyable as its predecessor , but there are enough high points to keep this from being a complete waste of time ."
0,walsh can't quite negotiate the many inconsistencies in janice's behavior or compensate for them by sheer force of charm .
0,this 10th film in the series looks and feels tired .
0,"it leers , offering next to little insight into its intriguing subject ."
0,i found myself growing more and more frustrated and detached as vincent became more and more abhorrent .
0,one of the oddest and most inexplicable sequels in movie history .
0,there's nothing to gain from watching they . it isn't scary . it hates its characters . it finds no way to entertain or inspire its viewers .
0,"fear permeates the whole of stortelling , todd solondz' oftentimes funny , yet ultimately cowardly autocritique ."
0,the skirmishes for power waged among victims and predators settle into an undistinguished rhythm of artificial suspense .
0,thoroughly awful .
0," . . . ice age treads predictably along familiar territory , making it a passable family film that won't win many fans over the age of 12 ."
0,"though the film is well-intentioned , one could rent the original and get the same love story and parable ."
0,just too silly and sophomoric to ensnare its target audience .
0,"the video work is so grainy and rough , so dependent on being 'naturalistic' rather than carefully lit and set up , that it's exhausting to watch ."
0,truly terrible .
0,a cleverly crafted but ultimately hollow mockumentary .
0,it gets bogged down by hit-and-miss topical humour before getting to the truly good stuff .
0,"an achingly enthralling premise , the film is hindered by uneven dialogue and plot lapses ."
0,"it's tommy's job to clean the peep booths surrounding her , and after viewing this one , you'll feel like mopping up , too ."
0,"rifkin no doubt fancies himself something of a hubert selby jr . , but there isn't an ounce of honest poetry in his entire script ; it's simply crude and unrelentingly exploitative ."
0,fluffy and disposible .
0,such a bad movie that its luckiest viewers will be seated next to one of those ignorant pinheads who talk throughout the show .
0,"if you go into the theater expecting a scary , action-packed chiller , you might soon be looking for a sign . an exit sign , that is ."
0,"holds limited appeal to those who like explosions , sadism and seeing people beat each other to a pulp ."
0,the dialogue is very choppy and monosyllabic despite the fact that it is being dubbed .
0,"a feature-length , r-rated , road-trip version of mama's family ."
0,what you end up getting is the vertical limit of surfing movies - memorable stunts with lots of downtime in between .
0,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor ."
0,"bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly ."
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening ."
0,"imagine kevin smith , the blasphemous bad boy of suburban jersey , if he were stripped of most of his budget and all of his sense of humor . the result might look like vulgar ."
0,suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands .
0,"what soured me on the santa clause 2 was that santa bumps up against 21st century reality so hard , it's icky ."
0,it's an 88-minute highlight reel that's 86 minutes too long .
0,the film favors the scientific over the spectacular ( visually speaking ) .
0,such an incomprehensible mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema .
0,"with the exception of mccoist , the players don't have a clue on the park . the acting isn't much better ."
0,the whole affair is as predictable as can be .
0,a not-so-divine secrets of the ya-ya sisterhood with a hefty helping of re-fried green tomatoes .
0,"this cloying , voices-from-the-other-side story is hell ."
0,a suffocating rape-payback horror show that hinges on the subgenre's most enabling victim . . . and an ebullient affection for industrial-model meat freezers .
0,"star trek was kind of terrific once , but now it is a copy of a copy of a copy ."
0,"[n]o matter how much good will the actors generate , showtime eventually folds under its own thinness ."
0,"every potential twist is telegraphed well in advance , every performance respectably muted ; the movie itself seems to have been made under the influence of rohypnol ."
0,puts on airs of a hal hartley wannabe film -- without the vital comic ingredient of the hilarious writer-director himself .
0,"ver wiel's desperate attempt at wit is lost , leaving the character of critical jim two-dimensional and pointless ."
0,"despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off"
0,"although disney follows its standard formula in this animated adventure , it feels more forced than usual ."
0,gaghan . . . has thrown every suspenseful cliché in the book at this nonsensical story .
0,"a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis ."
0,[p]artnering murphy with robert de niro for the tv-cops comedy showtime would seem to be surefire casting . the catch is that they're stuck with a script that prevents them from firing on all cylinders .
0,"'you'll laugh for not quite and hour and a half , but come out feeling strangely unsatisfied . you'll feel like you ate a reeses without the peanut butter . . . '"
0,gooding offers a desperately ingratiating performance .
0,"parker should be commended for taking a fresh approach to familiar material , but his determination to remain true to the original text leads him to adopt a somewhat mannered tone . . . that ultimately dulls the human tragedy at the story's core ."
0,the director has injected self-consciousness into the proceedings at every turn . the results are far more alienating than involving .
0,bogdanich is unashamedly pro-serbian and makes little attempt to give voice to the other side .
0,"a lack of thesis makes maryam , in the end , play out with the intellectual and emotional impact of an after-school special ."
0,the worst film of the year .
0,by-the-numbers yarn .
0,"without shakespeare's eloquent language , the update is dreary and sluggish ."
0,"if h . g . wells had a time machine and could take a look at his kin's reworked version , what would he say ? 'it looks good , sonny , but you missed the point . '"
0,"during the tuxedo's 90 minutes of screen time , there isn't one true 'chan moment' ."
0,"bisset delivers a game performance , but she is unable to save the movie ."
0,"watching austin powers in goldmember is like binging on cotton candy . it's sweet and fluffy at the time , but it may leave you feeling a little sticky and unsatisfied ."
0,the most anti-human big studio picture since 3000 miles to graceland .
0,the film can depress you about life itself .
0,"i'm sure the filmmakers found this a remarkable and novel concept , but anybody who has ever seen an independent film can report that it is instead a cheap cliché ."
0,the acting is fine but the script is about as interesting as a recording of conversations at the wal-mart checkout line .
0,"its weighty themes are too grave for youngsters , but the story is too steeped in fairy tales and other childish things to appeal much to teenagers ."
0,the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel .
0,"sometimes there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely ."
0,"at 90 minutes this movie is short , but it feels much longer ."
0,"here's my advice , kev . start reading your scripts before signing that dotted line ."
0,an alternately raucous and sappy ethnic sitcom . . . you'd be wise to send your regrets .
0,an ugly-duckling tale so hideously and clumsily told it feels accidental .
0,"unfortunately , it's also not very good . especially compared with the television series that inspired the movie ."
0,"it wraps up a classic mother/daughter struggle in recycled paper with a shiny new bow and while the audience can tell it's not all new , at least it looks pretty ."
0,glazed with a tawdry b-movie scum .
0,"this is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness ."
0,"it winds up moving in many directions as it searches ( vainly , i think ) for something fresh to say ."
0,"all in all , road to perdition is more in love with strangeness than excellence ."
0,a big fat pain .
0,a mimetic approximation of better films like contempt and 8 1/2 .
0,"unintelligible , poorly acted , brain-slappingly bad , harvard man is ludicrous enough that it could become a cult classic ."
0,"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures ."
0,aan opportunity wasted .
0,an inelegant combination of two unrelated shorts that falls far short of the director's previous work in terms of both thematic content and narrative strength .
0,"to build a feel-good fantasy around a vain dictator-madman is off-putting , to say the least , not to mention inappropriate and wildly undeserved ."
0,"with the cheesiest monsters this side of a horror spoof , which they isn't , it is more likely to induce sleep than fright ."
0,"mild , meandering teen flick ."
0,though its atmosphere is intriguing . . . the drama is finally too predictable to leave much of an impression .
0,"though this rude and crude film does deliver a few gut-busting laughs , its digs at modern society are all things we've seen before ."
0,"although it tries to be much more , it's really just another major league ."
0,"astonishing isn't the word -- neither is incompetent , incoherent or just plain crap . indeed , none of these words really gets at the very special type of badness that is deuces wild ."
0,one thing is for sure : this movie does not tell you a whole lot about lily chou-chou .
0,"with a tone as variable as the cinematography , schaeffer's film never settles into the light-footed enchantment the material needs , and the characters' quirks and foibles never jell into charm ."
0,"to better understand why this didn't connect with me would require another viewing , and i won't be sitting through this one again . . . that in itself is commentary enough ."
0,"cuba gooding jr . valiantly mugs his way through snow dogs , but even his boisterous energy fails to spark this leaden comedy ."
0,diane lane's sophisticated performance can't rescue adrian lyne's unfaithful from its sleazy moralizing .
0,not at all clear what it's trying to say and even if it were i doubt it would be all that interesting .
0,storytelling feels slight .
0,"[swimfan] falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting ."
0,this remake of lina wertmuller's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since john and bo derek made the ridiculous bolero .
0,"silly , loud and goofy ."
0,why spend $9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ?
0,"the french director has turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing ."
0,the basic premise is intriguing but quickly becomes distasteful and downright creepy .
0,the pool drowned me in boredom .
0,it's like an all-star salute to disney's cheesy commercialism .
0,"it's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one ."
0,"some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity ."
0,"there's an excellent 90-minute film here ; unfortunately , it runs for 170 ."
0,"as saccharine movies go , this is likely to cause massive cardiac arrest if taken in large doses ."
0,"die another day is only intermittently entertaining but it's hard not to be a sucker for its charms , or perhaps it's just impossible not to feel nostalgia for movies you grew up with ."
0,"as is often the case with ambitious , eager first-time filmmakers , mr . murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold ."
0,"the mystery of enigma is how a rich historical subject , combined with so much first-rate talent . . . could have yielded such a flat , plodding picture ."
0,"it throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , "" look at this ! this is an interesting movie ! "" but the film itself is ultimately quite unengaging ."
0,the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror/action hybrid .
0,bad company . bad movie . just plain bad .
0,"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed ."
0,avary's film never quite emerges from the shadow of ellis' book .
0,"a poorly scripted , preachy fable that forgets about unfolding a coherent , believable story in its zeal to spread propaganda ."
0,"while it is interesting to witness the conflict from the palestinian side , longley's film lacks balance . . . and fails to put the struggle into meaningful historical context ."
0,"woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the "" saving private ryan "" battle scenes before realizing steven spielberg got it right the first time ?"
0,"it's sincere to a fault , but , unfortunately , not very compelling or much fun ."
0," . . . jones , despite a definitely distinctive screen presence , just isn't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead's specific gifts ."
0,this follow-up seems so similar to the 1953 disney classic that it makes one long for a geriatric peter .
0,"why , you may ask , why should you buy the movie milk when the tv cow is free ? there's no good answer to that one ."
0,"this slow-moving swedish film offers not even a hint of joy , preferring to focus on the humiliation of martin as he defecates in bed and urinates on the plants at his own birthday party ."
0,"a muddled limp biscuit of a movie , a vampire soap opera that doesn't make much sense even on its own terms ."
0,"there's the plot , and a maddeningly insistent and repetitive piano score that made me want to scream ."
0,this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action .
0,this is amusing for about three minutes .
0,"klein , charming in comedies like american pie and dead-on in election , delivers one of the saddest action hero performances ever witnessed ."
0,"it's rare to see a movie that takes such a speedy swan dive from "" promising "" to "" interesting "" to "" familiar "" before landing squarely on "" stupid "" ."
0,"this is the sort of low-grade dreck that usually goes straight to video --with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes ."
0,"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why ."
0,there are few things more frustrating to a film buff than seeing an otherwise good movie marred beyond redemption by a disastrous ending .
0,"it won't harm anyone , but neither can i think of a very good reason to rush right out and see it . after all , it'll probably be in video stores by christmas , and it might just be better suited to a night in the living room than a night at the movies ."
0,looks more like a travel-agency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independent-community guiding lights .
0,"given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors' workshop that it is ."
0,they kept much of the plot but jettisoned the stuff that would make this a moving experience for people who haven't read the book .
0,just because a walk to remember is shrewd enough to activate girlish tear ducts doesn't mean it's good enough for our girls .
0,"[carvey's] characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark ."
0,"it's mildly interesting to ponder the peculiar american style of justice that plays out here , but it's so muddled and derivative that few will bother thinking it all through ."
0,this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .
0,"brown's saga , like many before his , makes for snappy prose but a stumblebum of a movie ."
0,"the boys' sparring , like the succession of blows dumped on guei , wears down the story's more cerebral , and likable , plot elements ."
0,the script by vincent r . nebrida . . . tries to cram too many ingredients into one small pot .
0,"the story is so light and sugary that were it a macy's thanksgiving day parade balloon , extra heavy-duty ropes would be needed to keep it from floating away ."
0,"oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between ."
0,"since dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer , it misses a major opportunity to be truly revelatory about his psyche ."
0,only those most addicted to film violence in all its forms will find anything here to appreciate .
0,"cold and scattered , minority report commands interest almost solely as an exercise in gorgeous visuals . that's not vintage spielberg and that , finally , is minimally satisfying ."
0,"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be . frank mcklusky c . i . is that movie !"
0,it's not difficult to spot the culprit early-on in this predictable thriller .
0,"[a] soulless , stupid sequel . . ."
0, . . . a mostly boring affair with a confusing sudden finale that's likely to irk viewers .
0,the trappings of i spy are so familiar you might as well be watching a rerun .
0,what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film .
0,"in the wake of saving private ryan , black hawk down and we were soldiers , you are likely to be as heartily sick of mayhem as cage's war-weary marine ."
0,"it is messy , uncouth , incomprehensible , vicious and absurd ."
0,really does feel like a short stretched out to feature length .
0,"hampered -- no , paralyzed -- by a self-indulgent script . . . that aims for poetry and ends up sounding like satire ."
0,"cheap , vulgar dialogue and a plot that crawls along at a snail's pace ."
